plate_id,plate_num,emulsion,filter,date_orig,observatory
64184,ES09821a  ,Kodak 098-04,OG5(=550),1992-02-24,European Southern Observatory
64185,ES09861a  ,Kodak 098-04,OG5(=550),1992-03-04,European Southern Observatory
64216,ES09862a  ,Kodak 098-04,OG5(=550),1992-03-04,European Southern Observatory
64217,ES09867a  ,Kodak 098-04,OG5(=550),1992-03-05,European Southern Observatory
64218,ES09868a  ,Kodak 098-04,OG5(=550),1992-03-05,European Southern Observatory
64219,ES09877a  ,Kodak 098-04,OG5(=550),1992-03-07,European Southern Observatory
64220,ES09883a  ,Kodak 098-04,OG5(=550),1992-03-08,European Southern Observatory
64221,ES09884a  ,Kodak 098-04,OG5(=550),1992-03-08,European Southern Observatory
64222,ES09944a  ,Kodak 098-04,OG5(=550),1992-04-07,European Southern Observatory
64223,ES09946a  ,Kodak 098-04,OG5(=550),1992-04-07,European Southern Observatory
64224,ES09947a  ,Kodak 098-04,OG5(=550),1992-04-07,European Southern Observatory
64225,ES09948a  ,Kodak 098-04,OG5(=550),1992-04-07,European Southern Observatory
64229,ES09958a  ,Kodak 098-04,OG5(=550),1992-04-13,European Southern Observatory
64230,ES09978a  ,Kodak 098-04,OG5(=550),1992-05-01,European Southern Observatory
64231,ES09981a  ,Kodak 098-04,OG5(=550),1992-05-02,European Southern Observatory
64232,ES09982a  ,Kodak 098-04,OG5(=550),1992-05-02,European Southern Observatory
64235,ES09991a  ,Kodak 098-04,OG5(=550),1992-05-09,European Southern Observatory
64236,ES09993a  ,Kodak 098-04,OG5(=550),1992-05-09,European Southern Observatory
64237,ES09995a  ,Kodak 098-04,OG5(=550),1992-05-10,European Southern Observatory
64238,ES10007a  ,Kodak 098-04,OG5(=550),1992-05-21,European Southern Observatory
64239,ES10008a  ,Kodak 098-04,OG5(=550),1992-05-21,European Southern Observatory
64241,ES10019a  ,Kodak 098-04,OG5(=550),1992-06-02,European Southern Observatory
64242,ES10025a  ,Kodak 098-04,OG5(=550),1992-06-03,European Southern Observatory
64243,ES10026   ,Kodak 098-04,OG5(=550),1992-06-03,European Southern Observatory
64249,ES10062a  ,Kodak 098-04,OG5(=550),1992-07-21,European Southern Observatory
64250,ES10035a  ,Kodak 098-04,OG5(=550),1992-07-23,European Southern Observatory
64251,ES10063a  ,Kodak 098-04,OG5(=550),1992-07-23,European Southern Observatory
64252,ES10064a  ,Kodak 098-04,OG5(=550),1992-07-23,European Southern Observatory
64253,ES10037a  ,Kodak 098-04,OG5(=550),1992-07-24,European Southern Observatory
64254,ES10038a  ,Kodak 098-04,OG5(=550),1992-07-24,European Southern Observatory
64255,ES10069a  ,Kodak 098-04,OG5(=550),1992-07-25,European Southern Observatory
64256,ES10073a  ,Kodak 098-04,OG5(=550),1992-07-25,European Southern Observatory
64257,ES10076a  ,Kodak 098-04,OG5(=550),1992-07-26,European Southern Observatory
64258,ES10078a  ,Kodak 098-04,OG5(=550),1992-07-26,European Southern Observatory
64259,ES10079   ,Kodak 098-04,OG5(=550),1992-07-26,European Southern Observatory
64260,ES10080a  ,Kodak 098-04,OG5(=550),1992-07-26,European Southern Observatory
64261,ES10081a  ,Kodak 098-04,OG5(=550),1992-07-29,European Southern Observatory
64262,ES10082a  ,Kodak 098-04,OG5(=550),1992-07-29,European Southern Observatory
64263,ES10086a  ,Kodak 098-04,OG5(=550),1992-07-29,European Southern Observatory
64264,ES10087a  ,Kodak 098-04,OG5(=550),1992-07-30,European Southern Observatory
64275,ES10106a  ,Kodak 098-04,OG5(=550),1992-08-18,European Southern Observatory
64276,ES10110a  ,Kodak 098-04,OG5(=550),1992-08-19,European Southern Observatory
64277,ES10117a  ,Kodak 098-04,OG5(=550),1992-08-20,European Southern Observatory
64278,ES10122a  ,Kodak 098-04,OG5(=550),1992-08-22,European Southern Observatory
64279,ES10123a  ,Kodak 098-04,OG5(=550),1992-08-22,European Southern Observatory
64280,ES10124a  ,Kodak 098-04,OG5(=550),1992-08-22,European Southern Observatory
64281,ES10128a  ,Kodak 098-04,OG5(=550),1992-08-23,European Southern Observatory
64282,ES10131   ,Kodak 098-04,OG5(=550),1992-08-23,European Southern Observatory
64283,ES10136a  ,Kodak 098-04,OG5(=550),1992-08-24,European Southern Observatory
64284,ES10183a  ,Kodak 098-04,OG5(=550),1992-09-20,European Southern Observatory
64285,ES10190a  ,Kodak 098-04,OG5(=550),1992-09-21,European Southern Observatory
64286,ES10197a  ,Kodak 098-04,OG5(=550),1992-09-22,European Southern Observatory
64287,ES10210a  ,Kodak 098-04,OG5(=550),1992-09-24,European Southern Observatory
64288,ES10218a  ,Kodak 098-04,OG5(=550),1992-09-25,European Southern Observatory
64289,ES10227a  ,Kodak 098-04,OG5(=550),1992-09-26,European Southern Observatory
64290,ES10242a  ,Kodak 098-04,OG5(=550),1992-09-28,European Southern Observatory
64291,ES10309a  ,Kodak 098-04,OG5(=550),1992-10-29,European Southern Observatory
64292,ES10322a  ,Kodak 098-04,OG5(=550),1992-11-01,European Southern Observatory
64293,ES10326a  ,Kodak 098-04,OG5(=550),1992-11-02,European Southern Observatory
64294,ES10347a  ,Kodak 098-04,OG5(=550),1992-11-19,European Southern Observatory
64295,ES10348a  ,Kodak 098-04,OG5(=550),1992-11-19,European Southern Observatory
64296,ES10356a  ,Kodak 098-04,OG5(=550),1992-11-23,European Southern Observatory
64297,ES10357a  ,Kodak 098-04,OG5(=550),1992-11-23,European Southern Observatory
64298,ES10358a  ,Kodak 098-04,OG5(=550),1992-11-23,European Southern Observatory
64299,ES10363a  ,Kodak 098-04,OG5(=550),1992-11-26,European Southern Observatory
64300,ES10364a  ,Kodak 098-04,OG5(=550),1992-11-26,European Southern Observatory
64301,ES10369a  ,Kodak 098-04,OG5(=550),1992-11-28,European Southern Observatory
64302,ES10372a  ,Kodak 098-04,OG5(=550),1992-11-28,European Southern Observatory
64303,ES10375a  ,Kodak 098-04,OG5(=550),1992-11-29,European Southern Observatory
64304,ES10377a  ,Kodak 098-04,OG5(=550),1992-11-30,European Southern Observatory
64305,ES10378a  ,Kodak 098-04,OG5(=550),1992-11-30,European Southern Observatory
64306,ES10380a  ,Kodak 098-04,OG5(=550),1992-12-01,European Southern Observatory
64307,ES10381a  ,Kodak 098-04,OG5(=550),1992-12-01,European Southern Observatory
64308,ES10384a  ,Kodak 098-04,OG5(=550),1992-12-03,European Southern Observatory
64309,ES10385a  ,Kodak 098-04,OG5(=550),1992-12-03,European Southern Observatory
64310,ES10386a  ,Kodak 098-04,OG5(=550),1992-12-04,European Southern Observatory
64311,ES10387a  ,Kodak 098-04,OG5(=550),1992-12-04,European Southern Observatory
64313,ES10405a  ,Kodak 098-04,OG5(=550),1992-12-18,European Southern Observatory
64314,ES10406a  ,Kodak 098-04,OG5(=550),1992-12-18,European Southern Observatory
64339,ES10575a  ,Kodak 098-04,OG5(=550),1993-03-13,European Southern Observatory
64340,ES10578a  ,Kodak 098-04,OG5(=550),1993-05-14,European Southern Observatory
64341,ES10581a  ,Kodak 098-04,OG5(=550),1993-05-15,European Southern Observatory
64342,ES10582a  ,Kodak 098-04,OG5(=550),1993-05-15,European Southern Observatory
64343,ES10583a  ,Kodak 098-04,OG5(=550),1993-05-15,European Southern Observatory
64344,ES10591a  ,Kodak 098-04,OG5(=550),1993-05-17,European Southern Observatory
64345,ES10606a  ,Kodak 098-04,OG5(=550),1993-05-24,European Southern Observatory
64346,ES10612a  ,Kodak 098-04,OG5(=550),1993-05-25,European Southern Observatory
64347,ES10615a  ,Kodak 098-04,OG5(=550),1993-05-26,European Southern Observatory
64348,ES10625a  ,Kodak 098-04,OG5(=550),1993-06-19,European Southern Observatory
64349,ES10631a  ,Kodak 098-04,OG5(=550),1993-06-19,European Southern Observatory
64350,ES10632a  ,Kodak 098-04,OG5(=550),1993-06-20,European Southern Observatory
64351,ES10641a  ,Kodak 098-04,OG5(=550),1993-06-24,European Southern Observatory
64352,ES10642a  ,Kodak 098-04,OG5(=550),1993-06-24,European Southern Observatory
64353,ES10643a  ,Kodak 098-04,OG5(=550),1993-06-24,European Southern Observatory
64354,ES10645a  ,Kodak 098-04,OG5(=550),1993-06-27,European Southern Observatory
64355,ES10696a  ,Kodak 098-04,OG5(=550),1993-07-25,European Southern Observatory
64356,ES10646a  ,Kodak 098-04,OG5(=550),1993-06-28,European Southern Observatory
64540,ES11680a  ,Kodak IIIa-F (hyp.-sens.),RG2(=630),1995-03-31,European Southern Observatory
64541,ES11681a  ,Kodak IIIa-F (hyp.-sens.),RG2(=630),1995-03-31,European Southern Observatory
64544,ES11686a  ,Kodak IIIa-F (hyp.-sens.),RG2(=630),1995-04-01,European Southern Observatory
64547,ES11690a  ,Kodak IIIa-F,RG2(=630),1995-04-02,European Southern Observatory
64549,ES11693a  ,Kodak IIIa-F (hyp.-sens.),RG2(=630),1995-04-03,European Southern Observatory
64550,ES11901a  ,Kodak IIIa-F (hyp.-sens.),RG2(=630),1995-07-31,European Southern Observatory
64551,ES11902a  ,Kodak IIIa-F,RG2(=630),1995-07-31,European Southern Observatory
64559,ES12028a  ,Kodak IIIa-F (hyp.-sens.),RG2(=630),1995-10-13,European Southern Observatory
64561,ES12030a  ,Kodak IIIa-F (hyp.-sens.),RG2(=630),1995-10-14,European Southern Observatory
64705,ES13183b  ,Kodak IIIa-J (hyp.-sens.),GG7(=475),1997-05-08,European Southern Observatory
