local_id,ref_number,magcal_magdep,magcal_magdep_rms,limiting_mag_local,pos.ra,pos.dec,fwhm_world,ellipticity,theta_j2000,iso_area_world,aflags,bflags,local_bin_reject_flag,series,platenum,mosnum,solnum,expnum,image_x,image_y,magcal_iso,magcal_iso_rms,magcal_local,magcal_local_rms,magcal_local_error,drad_rms2,extinction,magcor_local,blended_mag,a2flags,b2flags,npoints_local,local_bin_index,spatial_bin,magdep_bin,mag_iso,mag_aper,mag_auto,flux_iso,background,flux_max,fwhm_image,kron_radius,sxt_iso0,sxt_iso1,sxt_iso2,sxt_iso3,sxt_iso4,sxt_iso5,sxt_iso6,sxt_iso7,time_accuracy,catalog_ra,catalog_dec,pm_ra_cosdec,pm_dec,plate_dist,sxt_number,gsc_bin_index,dasch_photdb_version_id,dasch_mask_index,reject,exp_local_id,year
47,420061551442725,12.397632,,13.688392,301.564814,44.457299,0.008653,0.51,63.51,3e-05,0,1349451776,0,i,15963,0,0,0,5737.988,5533.48,12.919902,0.186047,12.397632,0.110439,0.179927,1.436687,0.468,0.058842,,0,0,73,616,4,461,-12.7053,-11.2703,-12.7889,120819.9,3909.265,1704.769,17.39,3.5,122,114,106,97,75,57,41,12,0.0007,301.56485,44.457146,-11.2,-9.2,3.0867,81331,143663284,10,0,0,256,1896.7245951156738
48,420061551442725,12.350665,0.164005,13.057783,301.564679,44.457161,0.008462,0.383,40.57,3.3e-05,268435584,1349191683,1,i,16191,0,0,0,1576.699,5479.261,12.974606,0.527197,12.544222,0.527197,,2.151641,0.406,0.11689,,0,0,23,604,7,476,-12.6591,-11.1399,-12.8323,115780.1,3693.754,1601.715,17.05,3.5,135,124,113,93,60,36,18,9,0.0007,301.56485,44.457146,-11.2,-9.2,4.4966,137662,143663284,10,0,0,258,1896.8035541464747
51,420061551442725,12.139366,0.179261,13.119174,301.564897,44.456928,0.010165,0.444,35.38,4.1e-05,128,1349453827,0,i,16731,0,0,0,1663.075,5589.036,12.99238,0.336561,12.198033,0.163335,0.186943,1.576962,0.686,0.115967,,0,0,47,604,7,476,-12.4927,-10.7127,-12.7569,99326.29,3520.805,1175.147,20.48,4.11,161,148,118,100,72,39,18,5,0.0007,301.56485,44.457146,-11.2,-9.2,4.4122,122729,143663284,10,0,0,263,1896.9487352963718
54,420061551442725,12.280228,,12.914802,301.565608,44.457477,0.008143,0.481,41.6,2.7e-05,128,1349451779,0,i,18428,0,0,0,1467.072,5749.794,12.61337,0.298657,12.280228,0.223977,0.156504,1.171017,0.409,-0.076874,,0,0,32,654,7,475,-11.8316,-10.4509,-12.0705,54030.95,3659.352,1031.49,16.42,4.97,111,102,89,74,58,38,19,5,0.0007,301.56485,44.45714,-11.2,-9.2,4.4416,79919,143663284,10,0,0,275,1897.5981213798764
56,420061551442725,12.274474,,13.327528,301.564868,44.457111,0.008907,0.418,55.71,4.3e-05,128,1349451776,0,i,18557,0,0,0,4717.867,5785.801,12.776946,0.115748,12.274474,0.073839,0.126752,0.539284,0.448,0.03974,,0,0,77,663,4,479,-13.3117,-11.6447,-13.3121,211191.3,3831.061,2399.353,17.91,3.5,175,164,149,122,101,84,64,37,0.0007,301.56485,44.45714,-11.2,-9.2,3.259,91028,143663284,10,0,0,277,1897.6310347652293
58,420061551442725,12.298971,0.064348,14.273338,301.564877,44.456947,0.00463,0.13,-58.17,4.7e-05,0,1349453824,0,i,18942,0,0,0,11728.934,5511.818,12.891018,0.155713,12.347962,0.077785,0.110918,1.581264,0.539,0.014216,,0,0,77,633,4,473,-12.2252,-10.8853,-12.2995,77640.12,3912.353,1186.26,9.31,3.5,189,172,137,116,90,67,42,18,0.0007,301.56485,44.45714,-11.2,-9.2,3.1015,407296,143663284,10,0,0,282,1897.7213006789868
59,420061551442725,12.210664,,13.911413,301.565406,44.456832,0.005528,0.243,-48.95,3.3e-05,128,1349451776,0,i,19018,0,0,0,12025.213,15492.931,12.779004,0.146218,12.210664,0.146162,0.155193,1.641813,0.438,0.184696,,0,0,30,1784,3,697,-12.8156,-11.4412,-12.9736,133737.3,2486.904,1845.632,11.1,3.5,132,122,108,83,69,54,40,19,0.0007,301.56485,44.45714,-11.2,-9.2,2.7759,343866,143663284,10,0,0,283,1897.7374881040382
60,420061551442725,12.235088,,15.749443,301.565112,44.457202,0.002529,0.357,80.12,1.1e-05,128,1349451776,0,c,10555,0,0,0,1875.049,11696.318,12.880704,0.122112,12.235088,0.087877,0.177629,0.492015,0.421,0.20328,,0,0,84,210,1,272,-14.4943,-14.2414,-14.51,627650.8,3757.464,3686.648,15.76,3.5,412,381,327,287,231,185,132,77,0.0007,301.56485,44.45714,-11.2,-9.2,0.719,188865,143663284,10,0,0,284,1897.7428908528407
61,420061551442725,12.643305,,13.600924,301.564901,44.457173,0.009481,0.477,29.85,4e-05,67108992,1349386243,0,i,19445,0,0,0,927.659,5693.085,13.096072,0.456373,12.643305,0.358142,0.21253,2.339728,0.488,-0.037773,,0,0,53,602,8,880,-12.6155,-10.9234,-12.7382,111223.7,3510.488,1333.812,19.12,3.59,162,155,147,125,111,76,42,15,0.0007,301.56485,44.45714,-11.2,-9.2,4.6957,156131,143663284,10,0,0,286,1897.8468143764544
62,420061551442725,12.606135,0.196725,13.358528,301.564379,44.456493,0.010675,0.61,46.47,3.5e-05,75497600,1349388291,0,i,19694,0,0,0,824.207,5539.764,12.995865,0.280053,12.588899,0.232924,0.214093,0.77486,0.508,-0.110686,,0,0,53,602,8,874,-12.0755,-10.4527,-12.3152,67640.8,2950.476,835.4752,21.53,3.5,140,123,101,80,54,35,22,6,0.0007,301.56485,44.45714,-11.2,-9.2,4.7824,106630,143663284,10,0,0,287,1897.9342155592067
